"Weekly Lyme Disease Cases, 2006-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,WEEK,ALABAMA,ALASKA,AMERICAN SAMOA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NEW YORK CITY,NORTH CAROLINA,NORTH DAKOTA,NORTHERN MARIANA ISLANDS,OHIO,OKLAHOMA,OREGON,PAC TRUST TERR,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UPSTATE NEW YORK,UTAH,VERMONT,VIRGIN ISLANDS,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2007,40,-,-,-,-,-,2,-,25,-,-,6,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,3,1,-,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
2007,41,-,-,-,-,-,3,-,15,5,-,3,-,-,-,-,-,-,-,-,-,-,13,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,66,-,1,-,-,-,-,-,-
2007,42,-,-,-,-,-,7,-,7,6,-,1,-,-,-,-,-,-,-,-,-,-,-,59,-,-,108,-,-,-,1,-,1,-,-,-,-,2,-,-,-,-,-,-,6,-,-,-,-,-,-,51,-,-,-,22,-,-,-,-
2007,43,-,1,-,-,-,6,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,13,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,85,1,2,-,24,2,9,-,-
2007,44,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,40,32,-,-,57,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,3,66,-,-,-,-,-,-,1,-
2007,45,-,-,-,-,-,-,-,18,-,-,2,-,-,-,1,-,-,-,-,-,-,9,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,1,-,73,-,-,-,15,-,-,-,-
2007,46,-,1,-,-,-,4,-,28,4,-,-,-,-,-,-,-,-,-,-,-,-,11,13,-,-,50,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,15,-,-,-,-,-,2,66,-,2,-,11,-,-,-,-
2007,47,-,-,-,-,-,1,-,12,4,-,1,-,-,-,-,-,-,-,-,-,-,12,13,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,2,-,-,-,-,55,-,1,-,7,-,-,-,-
2007,48,-,1,-,-,0,1,-,25,5,-,4,-,-,-,-,-,2,-,-,-,-,12,10,-,-,30,-,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,10,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-
2007,49,-,-,-,-,-,4,-,11,6,-,3,1,-,-,-,-,-,-,-,-,-,10,5,-,-,40,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,14,-,-,-,-,1,2,36,-,-,-,18,-,5,-,-
2007,50,-,-,-,-,-,1,-,10,3,-,1,-,-,-,-,-,-,-,-,-,-,9,16,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,81,-,2,-,8,7,1,1,-
2007,51,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,15,-,-,-,-,-,-,28,-,1,-,4,-,-,-,-
2007,52,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,23,-,1,-,8,-,-,-,-
2008,1,-,-,-,-,-,2,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,2,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2008,3,-,-,-,-,-,4,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-
2008,4,-,-,-,-,-,3,-,-,6,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,-,-,-,-,-,-,5,-,1,-,-,-,-,-,-
2008,5,-,-,-,-,-,6,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
2008,6,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,194,-,-,-,-,-,-,6,-,-,-,5,-,-,1,-
2008,7,-,-,-,-,-,4,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-
2008,8,-,-,-,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
2008,9,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-
2008,10,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,-,-,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,1,19,-,-,-,-,-,-,-,-
2008,11,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
2008,12,-,-,-,-,-,4,-,-,5,1,2,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,1,7,-,-,-,1,-,-,-,-
2008,13,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,1,1,9,-,-,-,1,-,-,-,-
2008,14,-,-,-,-,-,4,-,-,4,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-
2008,15,1,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,2,17,-,-,-,-,-,-,-,-
2008,16,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,15,-,3,-,-,-,-,-,-
2008,17,-,-,-,-,-,2,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
2008,18,-,-,-,-,-,2,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-
2008,19,-,-,-,-,-,4,-,-,6,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,24,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-
2008,20,-,-,-,-,-,4,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,1,-,-,-,42,-,-,-,7,-,-,-,-
2008,21,-,-,-,-,-,-,-,-,12,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,25,-,-,-,-,4,-,25,-,1,-,2,-,-,-,-
2008,22,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,7,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,22,-,-,-,-,-,1,34,-,-,-,-,-,-,-,-
2008,23,-,1,-,-,-,3,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,26,-,-,-,-,1,-,40,-,2,-,2,-,-,-,-
2008,24,-,-,-,-,-,3,-,-,17,-,2,-,-,-,-,-,-,-,-,-,-,-,24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,1,84,-,-,-,4,-,-,-,-
2008,25,1,-,-,-,-,3,-,-,14,-,2,-,-,-,2,-,-,-,-,-,-,14,8,-,1,31,-,-,-,1,-,5,-,-,-,-,-,-,-,2,-,2,-,48,-,-,-,-,-,-,159,-,4,-,15,-,-,-,-
2008,26,-,-,-,-,-,4,1,-,11,2,1,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,57,-,-,-,-,-,-,162,-,4,-,18,-,-,-,-
2008,27,-,-,-,-,-,4,-,-,15,1,2,-,-,-,-,-,-,-,-,-,-,-,6,-,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,2,-,176,-,2,-,-,-,-,-,-
2008,28,-,2,-,-,-,2,-,-,15,2,4,-,-,-,1,-,-,-,-,-,-,-,22,17,-,61,-,-,-,-,-,4,-,-,-,-,3,-,-,-,-,-,-,104,-,-,1,-,-,-,198,-,4,-,7,-,-,-,-
2008,29,-,-,-,-,-,-,1,-,14,6,3,4,-,-,-,-,-,-,-,-,-,-,28,-,2,51,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,97,-,-,-,-,3,-,324,-,3,-,5,-,-,-,-
2008,30,-,-,-,-,1,1,-,-,12,-,4,-,-,-,1,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-,-,1,-,-,-,198,-,-,-,-,-,2,379,-,11,-,21,4,-,-,-
2008,31,-,-,-,-,-,6,-,-,3,3,1,-,-,-,-,-,-,-,-,-,-,49,15,-,2,40,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,2,-,83,-,-,-,-,-,-,328,-,10,-,25,-,-,-,-
2008,32,-,-,-,-,-,7,-,-,4,3,5,-,-,-,-,-,-,-,-,-,-,42,20,-,7,79,-,-,1,1,-,4,-,-,-,-,-,-,-,2,-,-,-,72,-,-,-,-,-,1,285,-,13,-,27,-,-,1,-
2008,33,-,2,-,-,-,3,-,-,6,2,9,1,-,-,1,-,-,-,-,-,-,-,19,-,3,44,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,81,-,-,2,-,-,1,319,-,-,-,43,1,-,-,-
2008,34,-,-,-,-,1,3,-,-,6,8,2,-,-,-,-,-,-,-,-,-,-,-,8,-,-,52,-,-,-,-,-,-,1,-,-,-,7,-,-,-,-,3,-,57,-,-,1,-,-,2,183,-,1,-,14,-,-,1,-
2008,35,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,2,-,-,-,-,-,12,1,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,53,-,-,-,-,1,-,120,-,4,-,11,2,-,-,-
2008,36,-,-,-,-,-,2,-,-,2,-,6,3,-,-,-,-,1,-,-,-,-,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,2,-,1,-,44,-,-,-,-,-,-,144,-,-,-,-,-,-,2,-
2008,37,-,-,-,-,-,6,-,-,3,2,4,-,-,-,-,-,1,-,-,-,-,-,22,-,-,101,-,-,-,1,-,-,2,-,-,-,1,-,-,-,-,-,-,49,-,-,-,-,-,1,258,-,-,-,1,-,-,-,-
2008,38,-,-,-,-,-,7,1,-,3,-,5,-,-,-,-,-,2,-,-,-,-,-,13,-,2,29,-,-,-,-,-,-,-,-,-,-,5,-,-,1,-,-,-,63,-,-,-,-,-,-,103,-,5,-,4,1,-,-,-
2008,39,-,-,-,-,-,3,-,-,3,4,7,1,-,-,-,-,-,-,-,-,-,44,38,-,2,-,-,-,-,1,-,-,-,-,-,1,2,-,-,-,-,1,-,49,-,-,2,-,-,-,205,-,3,-,31,1,-,5,-
2008,40,-,-,-,-,-,6,-,-,1,2,2,2,-,-,-,-,-,-,-,-,-,-,6,-,1,77,-,2,-,-,-,-,-,-,-,-,4,-,-,-,-,1,-,40,-,-,-,-,-,-,124,-,-,-,-,-,-,-,-
2008,41,-,-,-,-,-,6,-,-,1,-,6,-,-,-,-,-,2,-,-,1,-,-,-,-,-,67,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,35,-,-,-,-,-,-,136,-,-,-,-,-,-,-,-
2008,42,-,-,-,-,-,10,-,-,-,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
2008,43,-,-,-,-,-,3,1,-,-,3,1,1,-,-,-,-,1,-,1,-,-,28,95,-,-,153,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,35,-,-,-,-,-,2,128,-,3,-,27,1,-,2,-
2008,44,-,-,-,-,-,9,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,41,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,50,-,-,-,-,-,-,114,-,-,-,-,-,-,2,-
2008,45,-,-,-,-,-,8,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,34,16,-,-,7,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,1,-,32,-,-,-,-,-,3,109,-,3,-,13,-,-,-,-
2008,46,-,-,-,-,-,6,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,19,8,-,-,27,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,2,-,41,-,-,-,-,2,-,124,-,-,-,2,-,-,1,-
2008,47,-,-,-,-,-,8,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,10,21,-,1,81,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,29,-,-,-,-,-,1,232,-,5,-,8,-,-,-,-
2008,48,-,-,-,-,-,-,-,-,3,5,3,-,-,-,-,-,-,-,-,-,-,3,11,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,31,-,-,-,-,-,-,223,-,3,-,-,1,-,1,-
2008,49,-,-,-,-,-,2,-,-,5,1,2,-,-,-,-,-,-,-,-,-,-,5,7,-,1,48,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,36,-,-,-,-,1,-,239,-,-,-,-,-,-,4,-
2008,50,-,-,-,-,-,4,-,-,4,-,6,-,-,-,-,-,1,-,-,-,-,29,6,-,-,69,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,38,-,-,-,-,-,-,249,-,-,-,6,-,-,5,-
2008,51,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,16,11,-,1,27,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,28,-,-,-,-,-,-,303,-,3,-,-,-,-,-,-
2008,52,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,1,-,145,-,-,-,5,-,-,3,-
2008,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,1,-,-,-,-,-,4,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-
2009,2,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,1,-,-,-,-,-,-
2009,3,-,-,-,-,-,5,1,-,4,-,2,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,7,-,-,-,1,-,-,6,-
2009,4,-,-,-,-,-,2,-,-,4,-,3,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,11,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-
2009,5,-,-,-,-,-,4,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,4,33,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-,-,1,-,14,-,2,-,-,-,-,1,-
2009,6,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,9,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-
2009,7,-,-,-,-,-,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,1,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,23,-,-,-,6,-,-,-,-
2009,8,-,-,-,-,-,2,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,10,-,-,1,-,-,-,24,-,-,-,-,-,-,-,-
2009,9,-,-,-,-,-,3,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,29,-,1,-,-,-,-,-,-
2009,10,-,1,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,48,-,-,-,-,-,-,-,-
2009,11,-,-,-,-,-,3,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,8,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-
2009,12,-,-,-,-,-,1,-,-,5,-,2,-,-,-,-,-,-,-,-,-,-,5,21,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,8,-,5,-,-,-,1,38,-,-,-,4,-,-,-,-
2009,13,-,-,-,-,-,3,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,3,7,-,-,7,-,-,1,-,-,-,-,-,-,-,6,-,-,-,-,-,-,4,-,-,-,-,1,-,50,-,-,-,11,-,-,-,-
2009,14,-,-,-,-,-,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3,1,1,1,10,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,26,-,-,-,-,-,-,26,-,-,-,2,-,-,2,-
2009,15,-,-,-,-,-,2,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,33,-,-,-,-,-,1,50,-,-,-,2,-,-,1,-
2009,16,-,-,-,-,-,4,-,-,2,-,3,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,40,-,-,-,-,-,-,40,-,2,-,2,-,-,2,-
2009,17,-,-,-,-,-,3,-,-,8,-,-,-,-,-,1,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,42,-,-,-,1,-,-,-,-
2009,18,-,-,-,-,-,2,-,-,5,-,-,-,-,-,1,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,1,-,47,-,3,-,3,-,-,-,-
2009,19,-,-,-,-,-,-,-,-,3,-,2,1,-,-,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,2,21,-,5,-,-,-,9,-,-
2009,20,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,46,-,-,1,-,-,-,50,-,1,-,1,2,-,-,-
2009,21,-,-,-,-,-,4,-,-,4,-,2,-,-,-,1,-,-,-,-,-,-,12,7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,1,51,-,-,-,5,1,-,-,-
2009,22,-,-,-,-,-,1,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,41,-,-,-,-,-,-,37,-,5,-,5,-,-,-,-
2009,23,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,1,84,-,-,-,4,-,-,-,-
2009,24,-,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,2,16,-,-,-,6,-,-,-,-,-,-,88,-,-,-,-,-,-,87,-,7,-,3,1,-,-,-
2009,25,-,-,-,-,-,3,-,-,14,-,1,-,-,-,-,-,-,-,-,-,-,36,22,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,1,-,142,-,4,-,1,-,-,-,-
2009,26,-,-,-,-,-,1,-,-,8,-,4,2,-,-,-,-,-,-,-,-,-,34,27,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,148,-,-,1,-,-,-,185,-,11,-,3,-,-,2,-
2009,27,-,-,-,-,-,4,-,-,14,-,2,-,-,-,-,-,-,-,-,-,-,4,36,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,1,-,-,-,229,-,-,-,-,-,-,144,-,-,-,-,-,-,1,-
2009,28,-,-,-,-,-,6,-,-,19,-,2,1,-,-,-,-,-,-,-,-,-,56,47,-,2,-,-,2,-,2,-,-,-,-,-,-,2,-,-,1,-,-,-,219,-,-,-,-,-,-,183,-,-,-,6,-,-,1,-
2009,29,-,-,-,-,-,7,-,-,19,-,1,-,-,-,1,-,-,-,-,-,-,44,36,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,226,-,-,-,-,-,-,208,-,25,-,4,-,-,6,-
2009,30,-,-,-,-,-,-,-,-,18,-,1,3,-,-,1,-,-,-,-,-,-,33,66,-,1,14,-,-,-,-,-,-,4,-,-,-,-,-,-,2,-,-,-,152,-,-,-,-,-,-,272,-,9,-,-,-,-,2,-
2009,31,-,-,-,-,-,10,1,-,9,-,3,5,-,-,-,-,-,-,-,-,-,62,39,5,1,-,-,-,-,-,-,-,1,-,-,-,14,-,-,1,-,-,-,141,-,-,-,-,-,-,227,-,5,-,10,-,-,4,-
2009,32,-,-,-,-,-,6,-,-,10,-,10,-,-,-,-,-,-,-,-,-,-,58,20,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,155,-,-,-,-,1,-,199,-,-,-,5,1,-,2,-
2009,33,-,-,-,-,-,5,-,-,12,-,3,-,-,-,-,-,2,-,-,-,-,-,25,-,-,25,-,-,-,-,-,-,2,-,-,-,4,-,-,1,-,-,-,125,-,-,1,-,1,-,149,-,-,-,3,1,-,-,-
2009,34,-,-,-,-,-,4,-,-,11,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,137,-,6,-,14,-,-,6,-
2009,35,-,-,-,-,-,5,-,-,5,-,4,-,-,-,-,-,-,-,-,-,-,10,27,-,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,117,-,-,-,-,-,5,229,-,-,-,-,-,-,-,-
2009,36,-,-,-,-,-,2,1,-,2,-,8,-,-,-,-,-,-,-,-,-,-,-,18,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,38,-,-,-,-,1,-,77,-,-,-,4,2,27,3,-
2009,37,-,-,-,-,-,7,-,-,3,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,100,-,-,-,-,1,-,105,-,1,-,19,1,-,-,-
2009,38,-,-,-,-,-,11,-,-,2,-,3,3,-,-,-,-,-,-,-,-,-,23,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,-,-,-,-,-,-,99,-,2,-,11,3,-,1,-
2009,39,-,-,-,-,-,5,-,-,7,-,6,1,-,-,-,-,-,-,-,-,-,39,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,95,-,1,-,-,-,2,172,-,-,-,9,-,-,4,-
2009,40,-,-,-,-,-,3,-,-,3,-,6,-,-,-,-,-,-,-,-,-,-,32,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,-,-,-,-,-,-,106,-,1,-,20,-,-,-,-
2009,41,-,-,-,-,-,1,-,-,5,-,7,-,-,-,1,-,-,-,-,-,-,21,5,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,-,-,-,-,-,49,-,-,-,7,-,-,-,-
2009,42,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,36,13,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,77,-,-,-,-,-,-,75,-,2,-,7,-,1,-,-
