"Weekly Lyme Disease Cases, 2006-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,WEEK,ALABAMA,ALASKA,AMERICAN SAMOA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NEW YORK CITY,NORTH CAROLINA,NORTH DAKOTA,NORTHERN MARIANA ISLANDS,OHIO,OKLAHOMA,OREGON,PAC TRUST TERR,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UPSTATE NEW YORK,UTAH,VERMONT,VIRGIN ISLANDS,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2006,21,-,-,-,-,-,9,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,10,-,-,-,-,-,-,55,1,-,-,-,-,-,-,-
2006,22,-,-,-,-,-,8,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-
2006,23,-,-,-,-,-,7,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
2006,24,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,1,-,5,-,-,-,-,-,-,-,-,-,1,-,23,-,-,1,-,1,-,60,-,-,-,4,-,-,-,-
2006,25,-,-,-,-,-,6,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,10,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,1,-,131,-,-,-,3,-,-,-,-
2006,26,-,-,-,-,-,3,-,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,10,-,-,-,1,2,-,-,-,-,-,-,19,-,-,-,-,-,-,67,-,-,-,-,-,-,-,-
2006,27,-,-,-,-,-,2,-,124,5,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,5,-,-,-,-,4,-,-,-,-,-,-,14,-,-,-,-,-,-,152,1,-,-,-,-,-,-,-
2006,28,1,1,-,-,-,5,-,96,3,2,-,-,-,-,-,-,-,-,-,-,-,-,11,-,2,28,-,-,-,-,-,18,4,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,148,1,-,-,6,-,-,-,-
2006,29,-,-,-,-,-,20,-,184,-,7,4,-,-,-,-,-,1,-,-,-,-,8,16,-,1,10,-,1,-,-,-,17,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,-,3,-,-,1,-,-,-
2006,30,-,-,-,-,-,6,-,148,3,-,3,-,-,-,1,-,-,-,-,-,-,-,9,-,-,38,-,-,-,1,-,13,-,-,-,-,1,-,-,-,-,-,-,35,-,-,-,-,-,-,196,-,-,-,19,1,-,-,-
2006,31,-,-,-,-,-,13,1,69,-,2,2,-,-,-,-,-,1,-,-,-,-,3,20,-,2,14,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,71,-,-,1,-,-,-,217,1,-,-,-,-,-,-,-
2006,32,-,-,-,-,-,14,-,154,-,4,2,-,-,-,-,-,1,-,-,-,-,-,12,-,1,52,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,23,-,-,1,-,-,-,242,-,2,-,20,1,-,-,-
2006,33,-,-,-,-,-,10,-,121,-,3,2,-,-,-,-,-,-,-,-,-,-,-,15,-,2,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,35,-,-,-,-,-,-,252,-,3,-,11,-,-,-,-
2006,34,1,-,-,-,-,5,-,99,1,4,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,2,-,-,-,-,-,-,23,-,-,-,-,2,1,154,-,-,-,5,-,2,-,-
2006,35,-,-,-,-,-,13,-,18,-,2,1,1,-,-,-,-,1,-,-,2,-,23,14,-,2,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,139,-,5,-,8,-,-,-,-
